index,provice,new0111,new0114,new0117,new0120,new0123,new0126,new0129,new0201,new0204,new0207,new0210,new0213,new0216,new0219,new0222,new0225,new0228,new0302,new0305,new0308,new0311,new0314,new0317,new0320,new0323,new0326,new0329,new0401,new0404,new0407,new0410,new0413,new0416,new0419,new0422,new0425,new0428
0,BeiJing,0,0,0,0,12,21,20,27,25,18,5,6,1,2,0,0,1,0,4,0,0,5,3,14,32,4,1,2,1,1,1,0,0,0,0,0,0
1,HuBei,0,0,17,72,105,371,1032,1921,3156,2841,2097,3780,1933,775,435,401,423,114,126,36,8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,GuangDong,0,0,0,13,21,48,70,84,73,57,26,20,6,1,3,0,1,0,1,0,3,1,5,7,15,12,9,6,8,3,4,6,6,1,2,1,1
3,ZheJiang,0,0,0,0,33,24,132,62,66,42,25,10,4,2,0,0,0,7,0,0,0,4,0,2,2,4,1,1,1,1,0,0,0,0,0,0,0
4,HeNan,0,0,0,4,3,45,72,71,89,67,32,15,15,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HuNan,0,0,0,0,15,35,56,74,140,31,33,20,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,ChongQing,0,0,0,0,18,35,18,24,29,15,18,11,7,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,AnHui,0,0,0,0,14,10,48,43,50,68,30,24,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SiChuan,0,0,0,0,10,25,34,24,19,19,12,12,14,6,0,2,0,0,0,0,0,0,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0
9,ShanDong,0,0,0,0,3,24,24,23,37,28,27,13,4,2,4,1,0,0,0,0,1,0,0,2,1,2,1,1,1,2,1,0,3,0,0,0,0
10,JiLin,0,0,0,0,2,2,5,6,12,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,FuJian,0,0,0,0,4,17,19,15,11,15,6,2,3,0,0,0,0,0,0,0,0,0,0,4,5,3,2,0,0,0,0,1,1,0,0,0,0
12,JiangXi,0,0,0,0,4,12,53,47,72,37,33,28,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,JiangSu,0,0,0,0,8,16,30,34,33,31,23,23,9,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0
14,ShangHai,0,0,0,1,4,13,21,24,25,12,7,5,3,0,1,1,0,1,1,0,0,3,3,9,10,17,6,6,2,5,0,0,0,3,1,1,1
15,GuangXi,0,0,0,0,8,13,20,11,11,11,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,HaiNan,0,0,0,0,4,3,3,6,10,12,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SanXi,0,0,0,0,0,7,10,14,14,11,5,4,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,HeBei,0,0,0,0,1,5,17,8,9,24,21,18,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
19,HeiLongJiang,0,0,0,0,4,6,7,15,35,18,29,23,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,13,25,23,79,11,3,4,5,0
20,LiaoNing,0,0,0,0,2,5,2,4,7,5,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0
21,YunNan,0,0,0,0,0,8,26,8,5,3,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
22,TianJin,0,0,0,0,1,4,2,9,7,2,4,7,2,2,2,0,0,0,0,0,0,0,0,0,4,5,3,2,0,0,1,0,1,0,0,0,0
23,ShanXi,0,0,0,0,0,4,8,9,7,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,4,0,3,0,0,0,0
24,GanSu,0,0,0,0,0,7,2,5,2,4,3,3,0,0,0,0,0,0,11,4,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25,GuiZhou,0,0,0,0,2,1,3,9,8,12,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,QingHai,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,XinJiang,0,0,0,0,0,1,1,3,3,3,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,TiBet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,InnerMongolia,0,0,0,0,0,4,2,4,7,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,3,27,0,0,1,0,1,1
30,NingXia,0,0,0,0,1,3,5,2,0,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,TaiWan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32,HongKong,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
